City,Locality,Area_sqft,Bedrooms,Bathrooms,Balconies,Parking,Floor,Total_Floors,Property_Age,Furnishing,Facing,Gated_Society,Lift,Power_Backup,Security,Gym,Swimming_Pool,Metro_Distance_km,Hospital_Distance_km,School_Distance_km,Mall_Distance_km,Expressway_Distance_km,RRTS_Distance_km,Price_INR
Greater Noida,Alpha 1,552,3,2,1,Yes,23,24,21,Semi-Furnished,South,Yes,Yes,Yes,Yes,No,Yes,2.87,4.9,3.46,7.3,10.58,8.68,6605816
Delhi,Janakpuri,3309,4,4,2,Yes,6,17,3,Unfurnished,West,No,Yes,Yes,Yes,No,No,6.48,7.79,2.4,5.74,12.48,12.56,50590083
Greater Noida,Alpha 1,637,2,2,0,Yes,3,16,8,Semi-Furnished,East,No,Yes,Yes,No,Yes,No,8.45,5.53,0.61,6.53,8.11,5.27,7060957
Gurugram,Sohna Road,1349,3,2,1,Yes,25,28,12,Unfurnished,West,No,Yes,No,Yes,No,Yes,1.8,1.29,4.52,5.62,11.26,8.85,21786168
Noida,Sector 137,2537,4,3,0,Yes,4,25,5,Semi-Furnished,East,No,Yes,No,No,Yes,No,11.66,6.91,0.27,7.35,10.29,10.97,25215744
Delhi,Rohini,2230,2,2,0,No,16,29,5,Semi-Furnished,South,Yes,Yes,No,Yes,No,Yes,6.52,6.27,3.28,0.51,5,0.88,34976713
Noida,Sector 62,1436,5,4,0,No,2,27,17,Semi-Furnished,South,No,Yes,No,Yes,No,Yes,11.15,6.09,4.2,7.27,6.11,13.6,16313486
Faridabad,NIT,945,2,1,0,No,0,19,17,Unfurnished,North,Yes,Yes,Yes,Yes,Yes,Yes,10.87,6.91,0.61,2.76,10.1,4.68,6261309
Faridabad,NIT,1445,4,4,1,Yes,3,25,13,Semi-Furnished,West,Yes,Yes,Yes,No,No,Yes,8.77,6.44,0.83,2.32,8.14,3.23,9621846
Ghaziabad,Vaishali,4031,1,2,0,Yes,20,29,0,Fully Furnished,South,No,Yes,No,Yes,Yes,No,10.39,7.24,1.15,0.52,5.98,18.57,34868886
Gurugram,Sector 57,3303,5,5,1,Yes,9,16,1,Semi-Furnished,South,Yes,Yes,No,Yes,No,Yes,0.78,4.16,5.14,1.15,1.21,17.31,53082665
Faridabad,Sector 21,2821,5,4,0,No,21,30,10,Fully Furnished,South,No,Yes,No,Yes,No,Yes,8.09,2.54,2.03,7.64,1.27,9.44,21109401
Delhi,Pitampura,1323,5,5,1,No,2,10,11,Unfurnished,South,No,Yes,Yes,No,No,Yes,3.25,7.14,4.51,1.98,4.37,4.61,20925265
Greater Noida,Gamma 1,2520,4,4,0,Yes,20,27,8,Unfurnished,West,Yes,Yes,No,No,Yes,No,6.77,1.07,5.68,7.06,2.41,1.2,23889209
Noida,Sector 78,972,1,2,2,Yes,11,18,21,Unfurnished,South,Yes,Yes,Yes,Yes,No,No,11.72,6.52,5.31,0.74,11.1,6.98,9952028
