Property_ID,City,Locality,Area_sqft,Bedrooms,Bathrooms,Balconies,Parking,Floor,Total_Floors,Property_Age,Furnishing,Facing,Gated_Society,Lift,Power_Backup,Security,Gym,Swimming_Pool,Metro_Distance_km,Hospital_Distance_km,School_Distance_km,Mall_Distance_km,Expressway_Distance_km,RRTS_Distance_km,Price_INR
PROP00001,Greater Noida,Alpha 1,552,3,2,1,Yes,23,24,21,Semi-Furnished,South,Yes,Yes,Yes,Yes,No,Yes,2.87,4.9,3.46,7.3,10.58,8.68,6605816
PROP00002,Delhi,Janakpuri,3309,4,4,2,Yes,6,17,3,Unfurnished,West,No,Yes,Yes,Yes,No,No,6.48,7.79,2.4,5.74,12.48,12.56,50590083
PROP00003,Greater Noida,Alpha 1,637,2,2,0,Yes,3,16,8,Semi-Furnished,East,No,Yes,Yes,No,Yes,No,8.45,5.53,0.61,6.53,8.11,5.27,7060957
PROP00004,Gurugram,Sohna Road,1349,3,2,1,Yes,25,28,12,Unfurnished,West,No,Yes,No,Yes,No,Yes,1.8,1.29,4.52,5.62,11.26,8.85,21786168
PROP00005,Noida,Sector 137,2537,4,3,0,Yes,4,25,5,Semi-Furnished,East,No,Yes,No,No,Yes,No,11.66,6.91,0.27,7.35,10.29,10.97,25215744
PROP00006,Delhi,Rohini,2230,2,2,0,No,16,29,5,Semi-Furnished,South,Yes,Yes,No,Yes,No,Yes,6.52,6.27,3.28,0.51,5,0.88,34976713
PROP00007,Noida,Sector 62,1436,5,4,0,No,2,27,17,Semi-Furnished,South,No,Yes,No,Yes,No,Yes,11.15,6.09,4.2,7.27,6.11,13.6,16313486
PROP00008,Faridabad,NIT,945,2,1,0,No,0,19,17,Unfurnished,North,Yes,Yes,Yes,Yes,Yes,Yes,10.87,6.91,0.61,2.76,10.1,4.68,6261309
PROP00009,Faridabad,NIT,1445,4,4,1,Yes,3,25,13,Semi-Furnished,West,Yes,Yes,Yes,No,No,Yes,8.77,6.44,0.83,2.32,8.14,3.23,9621846
PROP00010,Ghaziabad,Vaishali,4031,1,2,0,Yes,20,29,0,Fully Furnished,South,No,Yes,No,Yes,Yes,No,10.39,7.24,1.15,0.52,5.98,18.57,34868886
PROP00011,Gurugram,Sector 57,3303,5,5,1,Yes,9,16,1,Semi-Furnished,South,Yes,Yes,No,Yes,No,Yes,0.78,4.16,5.14,1.15,1.21,17.31,53082665
PROP00012,Faridabad,Sector 21,2821,5,4,0,No,21,30,10,Fully Furnished,South,No,Yes,No,Yes,No,Yes,8.09,2.54,2.03,7.64,1.27,9.44,21109401
PROP00013,Delhi,Pitampura,1323,5,5,1,No,2,10,11,Unfurnished,South,No,Yes,Yes,No,No,Yes,3.25,7.14,4.51,1.98,4.37,4.61,20925265
PROP00014,Greater Noida,Gamma 1,2520,4,4,0,Yes,20,27,8,Unfurnished,West,Yes,Yes,No,No,Yes,No,6.77,1.07,5.68,7.06,2.41,1.2,23889209
PROP00015,Noida,Sector 78,972,1,2,2,Yes,11,18,21,Unfurnished,South,Yes,Yes,Yes,Yes,No,No,11.72,6.52,5.31,0.74,11.1,6.98,9952028
PROP00016,Gurugram,DLF Phase 3,3675,1,2,0,No,7,14,14,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,Yes,3.42,0.74,4.69,3.84,7.74,13.75,51821857
PROP00017,Delhi,Rohini,1181,5,5,0,Yes,19,26,11,Semi-Furnished,East,No,Yes,Yes,No,No,Yes,0.63,3.6,3.22,8.16,10.37,18.84,17129495
PROP00018,Ghaziabad,Indirapuram,4336,3,3,0,No,16,21,21,Semi-Furnished,West,Yes,Yes,No,No,No,Yes,8.16,7.24,3.77,3.36,8.31,0.51,27765585
PROP00019,Ghaziabad,Kaushambi,2934,3,3,3,No,21,25,16,Semi-Furnished,South,No,Yes,Yes,Yes,Yes,No,8.11,1.95,1.35,0.73,3.82,9.77,25183051
PROP00020,Ghaziabad,Crossings Republik,4079,5,4,3,No,12,20,4,Semi-Furnished,West,Yes,Yes,Yes,Yes,Yes,No,0.7,2.14,5.12,4.84,12.06,13.52,32863253
PROP00021,Ghaziabad,Kaushambi,3788,5,5,3,Yes,23,30,15,Semi-Furnished,West,Yes,Yes,No,Yes,No,No,1.02,2.43,1.78,3.54,8.19,3.2,25158119
PROP00022,Greater Noida,Beta 2,3343,2,1,3,No,10,28,14,Semi-Furnished,West,Yes,Yes,No,Yes,No,No,0.17,2.94,4.57,8.61,14.31,8.67,34581842
PROP00023,Ghaziabad,Vaishali,1567,4,4,0,No,10,23,23,Unfurnished,North,No,Yes,Yes,No,Yes,Yes,7.75,1.26,2.88,0.98,5.81,4.63,10839435
PROP00024,Ghaziabad,Raj Nagar,3530,4,4,0,No,0,24,17,Unfurnished,South,Yes,Yes,Yes,No,Yes,Yes,2.47,0.36,1.08,1.7,10.11,11.5,23077606
PROP00025,Greater Noida,Gamma 1,3591,3,2,0,Yes,9,13,18,Unfurnished,South,Yes,Yes,Yes,No,No,No,1.31,6.23,5.13,6.2,1.99,19.68,22328015
PROP00026,Faridabad,NIT,3159,3,2,2,Yes,13,29,3,Semi-Furnished,East,No,Yes,Yes,No,No,Yes,7.43,7.37,4.69,4.92,12.42,12.05,20000220
PROP00027,Delhi,Rohini,4061,4,3,3,No,10,11,15,Fully Furnished,East,No,Yes,No,Yes,No,Yes,3.43,4.85,5.3,5.78,7.85,4.23,54746935
PROP00028,Ghaziabad,Kaushambi,3555,2,2,3,No,25,26,2,Unfurnished,East,No,Yes,No,No,Yes,No,5.16,6.02,2.12,7.18,4.21,5.4,20135048
PROP00029,Gurugram,DLF Phase 1,3492,5,4,1,Yes,23,27,8,Semi-Furnished,East,No,Yes,Yes,No,Yes,Yes,2.24,0.31,3.3,3.11,14.62,11.29,40014103
PROP00030,Delhi,Dwarka,2801,3,3,3,No,10,16,1,Unfurnished,North,No,Yes,No,No,Yes,Yes,6.97,5.55,1.08,8.21,14.25,2.16,37796276
PROP00031,Faridabad,NIT,2933,5,4,3,No,14,24,18,Fully Furnished,East,Yes,Yes,Yes,No,Yes,Yes,7.96,1.43,1.21,1.21,0.24,9.28,23317033
PROP00032,Gurugram,DLF Phase 1,1398,3,3,3,Yes,21,25,8,Semi-Furnished,East,Yes,Yes,Yes,Yes,No,Yes,9.94,0.76,1.16,3.42,11.28,11.6,20763715
PROP00033,Delhi,Saket,3270,3,3,2,No,14,17,19,Unfurnished,South,Yes,Yes,Yes,No,No,No,11.55,6.72,3.54,9.53,14.99,13.61,43951421
PROP00034,Noida,Sector 78,2575,4,4,1,No,20,28,2,Semi-Furnished,East,Yes,Yes,Yes,No,No,No,5,4.06,4.04,4.3,11.46,1.22,22041165
PROP00035,Gurugram,Golf Course Road,924,4,3,3,No,1,8,16,Semi-Furnished,South,Yes,Yes,No,No,No,Yes,11.14,3.62,4.25,1.65,14.6,12.37,12958223
PROP00036,Gurugram,Sohna Road,506,5,5,0,Yes,3,18,3,Semi-Furnished,West,No,Yes,No,Yes,No,No,11.76,2.1,3.4,4.14,13.84,10.41,7028818
PROP00037,Gurugram,Sector 57,1842,5,5,0,No,23,26,18,Semi-Furnished,East,No,Yes,No,No,Yes,No,6.67,4.44,2.84,3.56,2.99,14.1,28453523
PROP00038,Ghaziabad,Indirapuram,1753,4,4,3,Yes,15,16,4,Semi-Furnished,North,Yes,Yes,No,No,Yes,No,8.7,3.4,4,1.97,7.15,19.4,13778240
PROP00039,Greater Noida,Alpha 1,3938,3,3,2,No,17,18,19,Unfurnished,North,No,Yes,Yes,No,Yes,Yes,5.38,5.61,5.44,0.94,11.98,6.22,34701875
PROP00040,Noida,Sector 137,2625,4,3,1,Yes,2,22,12,Semi-Furnished,East,Yes,Yes,No,Yes,No,Yes,5.57,5.4,5.41,4.92,4.46,11.16,22389499
PROP00041,Gurugram,Sohna Road,1675,4,4,3,No,6,19,15,Unfurnished,West,No,Yes,Yes,No,No,No,3.37,4.61,4.18,7.57,0.93,12.32,28714442
PROP00042,Noida,Sector 50,3734,3,2,1,No,21,24,20,Unfurnished,South,Yes,Yes,No,Yes,No,No,1.17,2.5,4.54,2.17,2.16,11.02,38851676
PROP00043,Faridabad,Sector 37,3851,2,2,3,No,23,30,10,Fully Furnished,East,Yes,Yes,No,No,Yes,Yes,1.17,3.28,1.73,1.67,5.66,15.11,24070291
PROP00044,Greater Noida,Gamma 1,893,2,2,0,No,19,23,20,Unfurnished,North,Yes,Yes,Yes,No,No,No,11.36,2.57,3.06,1.42,13.33,3.15,8607955
PROP00045,Greater Noida,Pari Chowk,2166,5,4,3,Yes,15,25,13,Fully Furnished,West,Yes,Yes,No,No,Yes,No,11.41,6.87,0.78,7.01,8.26,19.57,20453690
PROP00046,Ghaziabad,Raj Nagar,1227,1,2,0,Yes,20,30,0,Unfurnished,South,Yes,Yes,Yes,No,Yes,Yes,7.08,6.54,1.55,7.86,11.87,12.12,8781077
PROP00047,Noida,Sector 50,1476,2,1,0,Yes,0,12,25,Semi-Furnished,South,No,Yes,Yes,No,Yes,Yes,8.93,4.3,4.52,5.02,11.71,10.51,12447992
PROP00048,Faridabad,Sector 21,4322,5,4,2,No,20,21,1,Fully Furnished,North,No,Yes,No,No,No,Yes,10.8,2.71,1.06,1.7,9.44,11.91,34883915
PROP00049,Ghaziabad,Kaushambi,2623,3,3,3,Yes,25,26,20,Semi-Furnished,East,Yes,Yes,No,Yes,No,No,9.95,3.31,4.43,3.47,4.83,5.47,24077922
PROP00050,Greater Noida,Knowledge Park,724,1,1,0,No,3,27,23,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,No,10.5,7.54,2.65,9.2,0.96,6.11,6172171
PROP00051,Delhi,Pitampura,2528,2,1,3,Yes,3,15,17,Semi-Furnished,North,Yes,Yes,No,No,Yes,No,2.25,5.68,1.99,3.73,0.29,17.46,40226779
PROP00052,Noida,Sector 62,825,5,4,3,No,14,25,5,Semi-Furnished,North,Yes,Yes,Yes,No,Yes,Yes,8.12,2.32,4.04,5.11,6.74,5.83,14201268
PROP00053,Delhi,Rohini,2210,1,2,3,No,1,9,12,Fully Furnished,South,No,Yes,Yes,Yes,Yes,Yes,9.19,2.46,0.9,5.23,6.57,3.02,40054827
PROP00054,Faridabad,Green Fields,3863,3,2,3,Yes,13,14,14,Fully Furnished,North,No,Yes,No,No,No,No,4.92,7.74,1.2,9.5,7.01,13.95,23902887
PROP00055,Ghaziabad,Indirapuram,1446,4,4,0,No,9,20,7,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,Yes,8.76,6.59,4.93,2.74,2.37,4.35,12917873
PROP00056,Greater Noida,Alpha 1,1175,4,4,3,No,20,26,4,Semi-Furnished,East,No,Yes,Yes,No,No,No,6.14,2.62,2.82,1.04,12.51,2,9294223
PROP00057,Ghaziabad,Crossings Republik,2827,5,4,3,Yes,10,30,15,Semi-Furnished,South,No,Yes,Yes,Yes,No,Yes,0.57,5.72,5.95,5.48,9.23,7.6,27086563
PROP00058,Ghaziabad,Crossings Republik,3622,3,2,2,Yes,10,14,17,Semi-Furnished,South,No,Yes,Yes,No,No,Yes,11.01,2.62,4.01,6.79,2.11,14.32,20416074
PROP00059,Faridabad,NIT,3085,3,2,0,No,16,22,0,Semi-Furnished,South,No,Yes,Yes,Yes,Yes,No,12,1.41,1.92,7.99,7.71,11.03,25268841
PROP00060,Delhi,Rohini,4039,5,4,3,Yes,5,11,22,Semi-Furnished,South,No,Yes,No,Yes,No,Yes,11.64,4.96,4.56,7.95,3.66,5.16,68643557
PROP00061,Gurugram,Sohna Road,4482,4,4,2,No,16,25,13,Fully Furnished,East,Yes,Yes,No,Yes,Yes,No,6.7,1,5.11,8.59,4.42,15.38,60619348
PROP00062,Faridabad,Sector 21,3853,4,3,1,No,11,12,13,Unfurnished,South,Yes,Yes,No,No,Yes,No,0.44,7.46,5.07,6.67,11.91,3.18,24253784
PROP00063,Greater Noida,Beta 2,3558,4,4,0,Yes,0,9,6,Fully Furnished,North,Yes,Yes,No,No,Yes,No,0.67,3.47,4.8,4.84,1.84,18.15,37796245
PROP00064,Greater Noida,Pari Chowk,2805,2,1,2,No,0,20,11,Unfurnished,North,No,Yes,Yes,No,Yes,Yes,4.75,3.87,3.89,9.82,3.95,0.82,17831768
PROP00065,Noida,Sector 62,3610,5,5,1,Yes,11,29,10,Fully Furnished,North,Yes,Yes,Yes,Yes,No,No,8.62,7.56,0.41,2.42,11.91,17.77,37252126
PROP00066,Faridabad,NIT,3789,5,5,2,Yes,24,30,6,Unfurnished,West,Yes,Yes,No,Yes,No,No,10.68,6,5.39,4.17,14.61,10.18,27039075
PROP00067,Faridabad,Sector 37,3731,1,2,0,No,19,22,17,Unfurnished,West,No,Yes,No,Yes,Yes,No,7.27,3.52,4.2,3.84,0.83,17.47,22189200
PROP00068,Gurugram,DLF Phase 1,757,4,4,1,Yes,4,24,21,Semi-Furnished,East,Yes,Yes,No,Yes,Yes,Yes,4.66,4.62,3.71,6.95,14.24,7.75,8967130
PROP00069,Faridabad,Sector 37,2080,3,3,1,Yes,0,24,5,Semi-Furnished,South,No,Yes,No,No,Yes,No,11.96,2.43,5.52,5.17,2.02,17.13,14422166
PROP00070,Greater Noida,Knowledge Park,809,3,3,0,,9,15,22,Semi-Furnished,South,Yes,Yes,Yes,Yes,,Yes,,4.05,2.29,5.94,7.12,19.67,
PROP00071,Delhi,Rohini,2080,4,4,3,Yes,4,15,20,Unfurnished,West,Yes,Yes,Yes,No,No,Yes,6.08,6.97,5.02,5.42,4.7,3.66,27929182
PROP00072,Faridabad,Sector 37,3914,1,2,1,No,4,25,9,Semi-Furnished,North,Yes,Yes,No,Yes,Yes,Yes,9.92,0.42,0.46,6.59,8.74,13.2,31756732
PROP00073,Ghaziabad,Kaushambi,3067,1,2,2,No,15,19,25,Fully Furnished,South,Yes,Yes,Yes,No,No,No,5.33,3.98,1.38,6.26,4.83,14.51,24981763
PROP00074,Ghaziabad,Vaishali,3565,3,2,2,Yes,14,18,8,Semi-Furnished,West,No,Yes,No,Yes,Yes,Yes,3.05,6.95,1.13,3.61,8.75,6.6,30583790
PROP00075,Ghaziabad,Kaushambi,2362,4,4,3,Yes,2,15,16,Semi-Furnished,East,Yes,Yes,Yes,Yes,Yes,No,5.99,7.08,3.99,4.97,8.14,17.02,17409811
PROP00076,Gurugram,Golf Course Road,3578,4,4,0,No,1,20,17,Unfurnished,North,No,Yes,No,No,Yes,No,1.63,0.95,2.36,9.87,8.46,7.63,39839668
PROP00077,Faridabad,Green Fields,2094,5,4,0,Yes,4,27,10,Fully Furnished,South,No,Yes,No,No,Yes,Yes,4.78,5.01,5.09,6.14,7.71,10.44,16880501
PROP00078,Gurugram,Sector 57,3791,1,2,2,Yes,13,23,25,Fully Furnished,West,Yes,Yes,Yes,Yes,No,No,2.13,5.11,3.79,8.49,2.39,13.77,34608314
PROP00079,Noida,Sector 62,2256,3,3,1,No,22,26,13,Semi-Furnished,West,Yes,Yes,No,No,Yes,Yes,6.35,2.65,1.2,9.17,5.27,7.41,31763351
PROP00080,Faridabad,NIT,1237,2,2,2,Yes,9,19,22,Unfurnished,East,No,Yes,No,No,No,No,1.55,5.48,2.4,9.81,12.31,19.11,9513597
PROP00081,Gurugram,DLF Phase 1,1628,1,2,3,No,23,27,6,Unfurnished,South,Yes,Yes,Yes,No,No,Yes,0.7,7.26,1.51,2.71,1.68,6.94,27463949
PROP00082,Greater Noida,Beta 2,471,5,4,3,No,15,26,6,Semi-Furnished,South,Yes,Yes,Yes,No,No,No,6.47,5.84,5.63,9.18,2.79,17.7,4994950
PROP00083,Ghaziabad,Crossings Republik,1213,3,2,0,No,18,28,3,Fully Furnished,West,No,Yes,Yes,No,No,No,3.35,6.51,2.12,7.45,9.79,14.51,8039116
PROP00084,Gurugram,Sohna Road,3212,2,1,3,No,16,22,2,Semi-Furnished,South,No,Yes,No,Yes,Yes,Yes,0.18,3.19,2.79,3.04,5.08,11.86,29879560
PROP00085,Greater Noida,Gamma 1,3287,2,1,0,No,9,15,12,Semi-Furnished,South,No,Yes,Yes,No,Yes,No,11.49,3.93,2.84,9.89,5.73,14.19,31883715
